names,out_1,out_2
YKR026C,0,0
YGR218W,0,0
YGL097W,0,0
YLR249W,0,0
YLR293C,0,0
YMR146C,0,0
YDR429C,0,0
YPR080W,0,0
YBR118W,0,0
YOL123W,0,0
YPL211W,0,0
YJL030W,0,0
YJL013C,0,0
YGL122C,0,0
YGR014W,0,0
YGR203W,0,0
YCR084C,0,0
YER112W,0,0
YJR022W,1,1
YER116C,0,0
YNL307C,0,0
YNL216W,1,1
YAL030W,0,0
YOR327C,1,1
YER062C,0,0
YDR412W,1,1
YDL014W,0,0
YER179W,1,1
YOR361C,0,0
YOR326W,0,0
YMR186W,1,1
YEL009C,1,1
YMR138W,1,1
YCL032W,0,0
YCR012W,1,1
YBR019C,1,1
YOL051W,0,0
YIR009W,0,0
YNL236W,0,0
YML032C,0,0
YLR116W,0,0
YCR086W,0,0
YDR309C,1,1
YGR058W,0,0
YJR109C,0,0
YLR256W,1,1
YGL237C,0,0
YBL021C,0,0
YDR311W,0,0
YPL149W,0,0
YKL109W,0,0
YMR043W,1,1
YHR171W,0,0
YNR050C,1,1
YJL203W,0,0
YLL021W,0,0
YGL013C,0,0
YKL101W,0,0
YCL067C,0,0
YBL005W,0,0
YDR323C,0,0
YGL008C,1,1
YER040W,0,0
YNL098C,0,0
YGL115W,0,0
YPL089C,0,0
YJL089W,0,0
YMR021C,0,0
YDR335W,1,1
YLL028W,0,0
YIL143C,0,0
YDL081C,0,0
YKL012W,1,1
YEL015W,1,1
YHR135C,0,0
YMR309C,0,0
YNL154C,0,0
YJR066W,0,0
YDR382W,0,0
YFL039C,0,0
YPL075W,1,1
YNL199C,1,1
YLR321C,0,0
YBR072W,1,1
YCL030C,1,1
YBL069W,0,0
YNL189W,1,1
YDR184C,0,0
YNL311C,0,0
YOL058W,1,1
YOL016C,0,0
YJL036W,0,0
YEL041W,0,0
YNL167C,0,0
YDL063C,0,0
YGL161C,0,0
YMR183C,1,1
YMR291W,0,0
YGR048W,0,0
YAL040C,0,0
YFR034C,1,1
YFR037C,0,0
YER133W,1,1
YGL035C,1,1
YFL038C,0,0
YOR355W,0,0
YML074C,0,0
YMR058W,0,0
YML123C,1,1
YPL031C,1,1
YAL038W,1,1
YML051W,1,1
YLL019C,0,0
YML024W,1,1
YOR039W,0,0
YER111C,0,0
YDR146C,1,1
YKL211C,0,0
YDR354W,0,0
YNL113W,0,0
YLR310C,0,0
YNL047C,0,0
YBR160W,0,0
YIL113W,0,0
YLR117C,1,1
YFL017C,0,0
YMR044W,0,0
YOL149W,0,0
YOR036W,1,1
YLR191W,0,0
YER110C,0,0
YBR135W,0,0
YNL214W,0,0
YJR060W,0,0
YOR089C,0,0
YNL117W,0,0
YLR175W,0,0
YDR167W,0,0
YGR108W,0,0
YDR244W,0,0
YPR119W,1,1
YDR142C,0,0
YBR020W,1,1
YDR009W,0,0
YPL248C,1,1
YAR007C,0,0
YKL161C,0,0
YNL312W,0,0
YLR075W,0,0
YLR229C,1,1
YPL240C,1,1
YOL156W,0,0
YML064C,1,1
YER052C,1,1
YPR124W,0,0
YGL166W,0,0
YGL134W,1,1
YJL194W,0,0
YLR264W,0,0
YBL050W,1,1
YNL145W,1,1
YBR274W,0,0
YLR452C,0,0
YDR299W,0,0
YIL074C,0,0
YLR319C,0,0
YGL073W,1,1
YOR120W,1,1
YPR041W,0,0
YNL135C,1,1
YBR217W,0,0
YMR255W,0,0
YLR258W,1,1
YDL215C,0,0
YER079W,0,0
YDL030W,0,0
YLR362W,1,1
YHR084W,0,0
YGR085C,0,0
YKL074C,1,1
YGR088W,1,1
YER081W,0,0
YPR113W,1,1
YIL070C,0,0
YIL061C,0,0
YGR046W,0,0
YNL091W,0,0
YHR030C,0,0
YPR048W,0,0
YHR005C,0,0
YDR070C,0,0
YJL157C,1,1
YNL036W,0,0
YML114C,0,0
YMR117C,0,0
YHR115C,0,0
YGR009C,1,1
YDL088C,0,0
YLR197W,0,0
YGL202W,0,0
YIL162W,1,1
YBR170C,0,0
YOR212W,1,1
YDR103W,0,0
YDL023C,1,1
YGR136W,0,0
YBR109C,0,0
YDR395W,0,0
YLR345W,0,0
YBL079W,0,0
YBR045C,1,1
YER054C,0,0
YPR145W,0,0
YNR053C,0,0
YGR074W,0,0
YDR277C,1,1
YBL026W,0,0
YOR204W,0,0
YAL003W,0,0
YGL044C,0,0
YGL229C,0,0
YBR112C,0,0
YOR167C,1,1
YNL050C,0,0
YDL013W,0,0
YGR254W,0,0
YHR174W,0,0
YIL133C,0,0
YLR044C,1,1
YOL120C,1,1
YNL301C,1,1
YDR171W,1,1
YBR093C,1,1
YER074W,0,0
YIL069C,0,0
YOL127W,0,0
YDR050C,1,1
YOL086C,1,1
YER143W,0,0
YPL201C,0,0
YOR310C,0,0
YLR134W,1,1
YIL105C,0,0
YGL106W,0,0
YBR155W,0,0
YMR108W,0,0
YOR202W,0,0
YBR248C,1,1
YMR300C,1,1
YHR141C,0,0
YLR109W,1,1
YDR032C,0,0
YLR081W,1,1
YBR018C,1,1
YKR099W,0,0
YOR264W,0,0
YOR303W,0,0
YML054C,0,0
YJR048W,1,1
YEL039C,1,1
YKL028W,0,0
YIL015W,1,1
YJL159W,1,1
YKR097W,0,0
YDR461W,1,1
YFL026W,1,1
YNR007C,0,0
YOL136C,0,0
YJL219W,0,0
YPR035W,0,0
YGR019W,0,0
YGL208W,0,0
YER065C,1,1
YLR377C,0,0
YLR214W,0,0
YDR174W,1,1
YLR340W,0,0
YNL116W,0,0
YKL204W,0,0
YDL130W,0,0
YCL040W,0,0
YHR179W,0,0
YDL236W,0,0
YPL111W,1,1
YPR062W,0,0
YKL001C,0,0
YDL113C,0,0
YPL131W,0,0
YDR100W,1,1
YPL222W,0,0
YOR290C,0,0
YOR178C,1,1
YOR315W,0,0
YMR311C,1,1
YBR050C,0,0
YJL190C,0,0
YER145C,0,0
YHR071W,1,1
YER090W,0,0
YPR110C,0,0
YER103W,1,1
YBR190W,0,0
YOL059W,0,0
YER102W,0,0
YOR362C,0,0
YGL153W,0,0
YML007W,0,0
YPR167C,0,0
YLR432W,0,0
YDL078C,0,0
YIL160C,0,0
YPR102C,0,0
YHR198C,1,1
YLR284C,0,0
YHR053C,1,1
YHR055C,1,1
YIL045W,1,1
YMR005W,0,0
YER124C,0,0
YLR153C,0,0
YNL164C,0,0
YPR010C,0,0
YOR215C,0,0
YFR014C,0,0
YDL075W,0,0
YNL069C,0,0
YER056CA,0,0
YIL052C,0,0
YBR043C,0,0
YDL194W,0,0
